shop_name,biko,address,homepage_address,google_map_url
京星,,〒028-6101 岩手県二戸市福岡橋場１１−１１,,https://maps.google.com/?cid=7139027393169009846
エクセルガーデンカフェ,,〒028-6103 岩手県二戸市石切所荷渡２２−１３,https://www.excelgarden.net/cafe/,https://maps.google.com/?cid=18343117259883277912
Cafe Fuku,,〒028-6103 岩手県二戸市石切所荷渡６−２,,https://maps.google.com/?cid=14235960270609572443
大吉 幸の蔵,,〒028-6101 岩手県二戸市福岡上町３−２,,https://maps.google.com/?cid=2367690351264286046
三五郎 下町店,,〒028-6101 岩手県二戸市福岡下町１２−１,http://sangoroshimomachi.hp.gogo.jp/pc/,https://maps.google.com/?cid=12516295979872816647
レストラン 戸々魯,,〒028-6103 岩手県二戸市石切所字 森合６８−2F カシオペアメッセなにゃーと,,https://maps.google.com/?cid=2354564827144241646
短角亭,,〒028-6103 岩手県二戸市石切所字荷渡２２−２,http://www.yamacho-meat.com/eat/,https://maps.google.com/?cid=16324212090155474540
麺’ｓ倶楽部,,〒028-6104 岩手県二戸市米沢荒谷２５ 二戸ショッピングセンターニコア,https://dqu7.ken-nyo.com/iwate/index.html,https://maps.google.com/?cid=15280340914231449700
きんじ,,〒028-6103 岩手県二戸市石切所字枋ノ木63−１２ 小松ビル 2F,,https://maps.google.com/?cid=3068295497866582072
桂泉,,〒028-6842 岩手県二戸市浄法寺町漆沢中前田２１６,,https://maps.google.com/?cid=1256426739320164899
食いものや,,〒028-6106 岩手県二戸市仁左平字 横手8-1,,https://maps.google.com/?cid=12399176265274217229
あか垣,,〒028-6101 岩手県二戸市福岡五日町５８,,https://maps.google.com/?cid=8671764336779709052
二戸パークホテル,,〒028-6101 岩手県二戸市福岡八幡下６９−１,https://www.ninohe-parkhotel.co.jp/,https://maps.google.com/?cid=12137653933383148152
和風レストラン蔵,,〒028-5711 岩手県二戸市金田一八ツ長１２６−１,http://www.kindaiti.com/~kura/,https://maps.google.com/?cid=6195883464028621048
ラーメンハウス勝龍,,〒028-6106 岩手県二戸市仁左平矢沢８５−１,http://ninohe-kanko.com/gourmet/2591,https://maps.google.com/?cid=3984941488097506751
龍潭酒家,,〒028-6101 岩手県二戸市福岡橋場１０−３,,https://maps.google.com/?cid=9073796958354158265
まるまつ 二戸店,,〒028-6103 岩手県二戸市石切所荷渡１９−１,http://www.re-marumatu.co.jp/marumatu.html,https://maps.google.com/?cid=56026992430311568
レストラン・パピコ,,〒028-5711 岩手県二戸市金田一八ツ長２７５,,https://maps.google.com/?cid=11797144189333216061
ゆいまーる,,,,
川又食堂,,〒028-6854 岩手県二戸市浄法寺町下前田２０−８,,https://maps.google.com/?cid=5729010605239056635
金次屋,,〒028-6101 岩手県二戸市福岡下中町１９,,https://maps.google.com/?cid=15371169411996336852
ちっちや食堂,,〒028-6101 岩手県二戸市福岡長嶺５０,,https://maps.google.com/?cid=3970729396383000952
桂泉,,〒028-6842 岩手県二戸市浄法寺町漆沢中前田２１６,,https://maps.google.com/?cid=1256426739320164899
食いものや,,〒028-6106 岩手県二戸市仁左平字 横手8-1,,https://maps.google.com/?cid=12399176265274217229
おふくろ亭,,〒028-6101 岩手県二戸市福岡落久保１２,http://www.ohukurotei.com/shop/,https://maps.google.com/?cid=9917205943628843278
